THSMSTRAKM;KDPTITRAKM;KDJENTRAKM;KDPSTTRKAM;NIMHSTRKAM;SKSEMTRAKM;NLIPSTRAKM;SKSTTTRAKM;NLIPKTRAKM
20132;071079;C;200;200711029;13;1.00;140;2.17
20132;071079;C;200;200711136;12;0.00;268;3.72
20132;071079;C;200;200811005;6;0.00;193;2.80
20132;071079;C;200;200811051;21;0.00;134;2.17
20132;071079;C;200;200811058;15;2.30;91;2.15
20132;071079;C;200;200811086;24;1.23;126;2.10
20132;071079;C;200;200811098;6;0.00;135;2.50
20132;071079;C;200;200812014;5;0.00;143;2.57
20132;071079;C;200;200812032;17;2.02;146;2.47
20132;071079;C;200;200812036;9;0.00;269;3.54
20132;071079;C;200;200812044;6;0.00;145;2.86
20132;071079;C;200;200812088;9;0.00;269;3.54
20132;071079;C;200;200911015;11;0.00;131;3.24
20132;071079;C;200;200911016;6;0.00;210;2.89
20132;071079;C;200;200911026;6;0.00;142;2.58
20132;071079;C;200;200911036;8;0.00;145;2.83
20132;071079;C;200;200911040;12;0.00;137;2.26
20132;071079;C;200;200911050;14;4.00;134;2.73
20132;071079;C;200;200911058;15;0.00;141;2.82
20132;071079;C;200;200911060;9;0.00;142;2.83
20132;071079;C;200;200911065;6;0.00;142;2.47
20132;071079;C;200;200911072;8;0.00;138;2.54
20132;071079;C;200;200911074;15;0.00;144;2.43
20132;071079;C;200;200911081;12;4.00;138;2.54
20132;071079;C;200;200911096;6;0.00;138;2.51
20132;071079;C;200;200911097;24;0.00;65;0.35
20132;071079;C;200;200911100;23;0.00;133;0.96
20132;071079;C;200;200911101;6;0.00;144;3.33
20132;071079;C;200;200911134;6;0.00;142;3.25
20132;071079;C;200;200911142;12;2.70;138;2.50
20132;071079;C;200;200911152;6;0.00;145;2.78
20132;071079;C;200;200911157;6;0.00;145;3.37
20132;071079;C;200;200911159;6;0.00;145;2.77
20132;071079;C;200;200911160;6;0.00;144;3.01
20132;071079;C;200;200911161;15;1.43;131;2.51
20132;071079;C;200;200911176;6;0.00;145;3.37
20132;071079;C;200;200912047;6;0.00;136;2.76
20132;071079;C;200;200912059;21;0.00;144;2.90
20132;071079;C;200;200912114;6;0.00;140;3.34
20132;071079;C;200;200912127;6;0.00;146;3.01
20132;071079;C;200;200912151;9;0.00;146;3.12
20132;071079;C;200;200912167;6;0.00;178;3.00
20132;071079;C;200;201011004;6;0.00;138;3.28
20132;071079;C;200;201011005;6;0.00;138;3.04
20132;071079;C;200;201011006;6;0.00;139;3.28
20132;071079;C;200;201011010;21;0.00;134;2.01
20132;071079;C;200;201011011;6;0.00;137;3.54
20132;071079;C;200;201011012;2;0.00;136;3.20
20132;071079;C;200;201011013;14;2.00;137;2.71
20132;071079;C;200;201011016;6;0.00;139;3.51
20132;071079;C;200;201011018;6;0.00;142;3.32
20132;071079;C;200;201011021;6;0.00;139;3.35
20132;071079;C;200;201011022;14;2.00;134;2.80
20132;071079;C;200;201011024;6;0.00;139;3.23
20132;071079;C;200;201011027;6;0.00;137;2.75
20132;071079;C;200;201011028;15;0.00;134;2.28
20132;071079;C;200;201011029;6;0.00;137;3.19
20132;071079;C;200;201011032;18;0.00;140;2.50
20132;071079;C;200;201011034;6;0.00;139;3.36
20132;071079;C;200;201011037;22;0.00;117;0.67
20132;071079;C;200;201011038;6;0.00;137;3.29
20132;071079;C;200;201011045;6;0.00;139;3.30
20132;071079;C;200;201011046;6;0.00;137;3.15
20132;071079;C;200;201011051;18;1.35;136;2.78
20132;071079;C;200;201011058;6;0.00;142;3.07
20132;071079;C;200;201011059;9;3.70;142;3.24
20132;071079;C;200;201011062;15;0.00;137;2.32
20132;071079;C;200;201011065;9;4.00;134;3.03
20132;071079;C;200;201011067;6;0.00;139;2.90
20132;071079;C;200;201011075;12;1.00;142;2.82
20132;071079;C;200;201011076;9;0.00;142;3.54
20132;071079;C;200;201011077;12;0.00;142;3.02
20132;071079;C;200;201011079;21;3.00;137;2.33
20132;071079;C;200;201011080;6;0.00;144;3.26
20132;071079;C;200;201011082;12;0.00;143;2.60
20132;071079;C;200;201011087;6;0.00;139;3.27
20132;071079;C;200;201011088;6;0.00;137;2.65
20132;071079;C;200;201011092;6;0.00;139;2.77
20132;071079;C;200;201011101;6;0.00;137;3.22
20132;071079;C;200;201011103;8;2.30;212;2.86
20132;071079;C;200;201011104;6;0.00;170;3.47
20132;071079;C;200;201011111;6;0.00;137;3.49
20132;071079;C;200;201011113;24;2.00;99;1.60
20132;071079;C;200;201011115;6;0.00;139;3.32
20132;071079;C;200;201011118;6;0.00;142;3.58
20132;071079;C;200;201011119;6;0.00;142;3.57
20132;071079;C;200;201011120;6;0.00;142;3.23
20132;071079;C;200;201011128;18;2.30;127;2.56
20132;071079;C;200;201011133;6;0.00;140;3.20
20132;071079;C;200;201011137;6;0.00;139;3.12
20132;071079;C;200;201011143;20;2.30;137;2.57
20132;071079;C;200;201011145;18;3.85;124;2.36
20132;071079;C;200;201011151;9;0.00;142;3.08
20132;071079;C;200;201011152;9;0.00;137;3.05
20132;071079;C;200;201011158;24;3.78;65;1.42
20132;071079;C;200;201011172;14;3.30;139;2.81
20132;071079;C;200;201011173;20;2.50;129;2.44
20132;071079;C;200;201011174;11;0.00;127;2.58
20132;071079;C;200;201011177;21;3.00;108;2.60
20132;071079;C;200;201011194;12;3.65;142;2.92
20132;071079;C;200;201011195;6;0.00;139;3.11
20132;071079;C;200;201011196;21;0.00;117;1.60
20132;071079;C;200;201011201;6;0.00;139;2.78
20132;071079;C;200;201011204;12;2.00;133;3.11
20132;071079;C;200;201011206;24;2.50;83;2.59
20132;071079;C;200;201011209;9;0.00;137;3.38
20132;071079;C;200;201011210;24;2.00;113;2.65
20132;071079;C;200;201011212;24;3.00;136;2.85
20132;071079;C;200;201011215;12;1.00;137;3.50
20132;071079;C;200;201011218;18;3.85;137;3.08
20132;071079;C;200;201011226;15;2.35;137;2.57
20132;071079;C;200;201011230;24;3.54;137;2.32
20132;071079;C;200;201012004;19;2.00;138;2.81
20132;071079;C;200;201012018;11;3.00;138;3.02
20132;071079;C;200;201012021;24;0.00;130;2.79
20132;071079;C;200;201012027;14;2.70;138;3.12
20132;071079;C;200;201012029;15;3.15;138;2.68
20132;071079;C;200;201012045;6;0.00;138;3.55
20132;071079;C;200;201012056;24;1.96;136;2.24
20132;071079;C;200;201012058;23;1.75;133;2.92
20132;071079;C;200;201012060;6;0.00;138;3.21
20132;071079;C;200;201012062;6;0.00;138;3.34
20132;071079;C;200;201012066;18;0.00;129;2.64
20132;071079;C;200;201012070;21;0.67;115;2.33
20132;071079;C;200;201012073;6;0.00;136;2.93
20132;071079;C;200;201012074;6;0.00;138;3.09
20132;071079;C;200;201012075;6;0.00;138;2.96
20132;071079;C;200;201012078;17;0.00;133;3.00
20132;071079;C;200;201012079;6;0.00;136;3.03
20132;071079;C;200;201012082;15;0.00;92;2.58
20132;071079;C;200;201012086;22;1.50;138;2.77
